['S7 (Rhine-Main S-Bahn)', 'Rhine-Main S-Bahn']
['Crassula pellucida', 'South Africa']
['Union of Education and Training', 'German language']
['Miklós Ajtai', 'Computer scientist']
["It's About Time (Young the Giant song)", 'Young the Giant']
['74th Primetime Emmy Awards', 'Prime time']
['Setagaya Station', 'Setagaya Line']
['Conservation Week', 'New Zealand']
['Jillye station', 'South Korea']
["2022 African Championships in Athletics – Women's 3000 metres steeplechase", '3000 metres steeplechase']
['Libero (magazine)', 'Magazine']
['Orvosegyetem SC', 'Hungary']
['Mike Coulman', 'Rugby football']
['1753 in music']
['Jonathan Dove', 'Order of the British Empire']
['Joseph Bercegeay', 'Cycle sport']
['Laurent de Premierfait', 'Renaissance humanism']
['Pasaband District', 'Ghor Province']
['Heinie Berger', 'Professional baseball']
['Hoploscopa subvariegata', 'Moth']
['Zavitne', 'Ukrainian language']
['Open Thy Lattice Love (song)', 'Latticework']
["Finswimming at the 2017 World Games – Men's 400 m surface", 'Finswimming']
['1993 Qatar Open – Singles', 'Boris Becker']
['Mathis Mile Stakes', 'Graded stakes race']
["2012 Australian Open – Boys' singles", 'Jiří Veselý']
['Kohei Kono', 'Professional boxing']
['Ad-Dawhah (municipality)', 'Arabic']
['Charles Stuart Bowyer', 'Astronomer']
['Skyrunners', 'Disney XD']
['March 842', 'Open-wheel car']
['Parentucellia', 'Orobanchaceae']
['Katie Stuart', 'Time Quintet']
['Democratic Revolution', 'Spanish language']
["The Devil's Hall of Fame", 'Progressive metal']
['Vladimir III Igorevich', 'Putyvl']
['Indian Home Rule Society', 'London']
['Snickometer', 'Cricket']
['Professional liability insurance', 'Liability insurance']
['2013 Baku Cup – Doubles', 'Irina Buryachok']
['Ole Olsen (baseball)', 'Baseball']
['Bruce Houston', 'Rugby union']
['Aïn Soltane, Aïn Defla', 'Communes of Algeria']
['Capoeira: The History of an Afro-Brazilian Martial Art', 'Routledge']
['Bank of America Plaza (Los Angeles)', 'Office']
['Immaculate Heart of Mary Cathedral, Nzérékoré', 'French language']
['Scintex Rubis', 'Piel Emeraude']
['The Rural Enterprise Academy', 'Mixed-sex education']
['Potassium perrhenate', 'Inorganic compound']
['Pyrausta culminivola', 'Moth']
['Brandon Miller (runner)', 'Middle-distance running']
['Jukebox Fury', 'The Godfathers']
["2023 Erskine Flying Fleet men's volleyball team", 'Erskine College']
['Valley of the Moon (Tucson, Arizona)', 'Tucson, Arizona']
['Mauro Belotti', 'Football in Italy']
['The Veiled Society', 'Adventure (Dungeons & Dragons)']
['2009 Købstædernes ATP Challenger – Singles', 'Roko Karanušić']
['1992 Nigerian Senate elections in Akwa Ibom State', 'Senate of Nigeria']
['Lanistes farleri', 'Species']
['S.W.A.T. (2017 TV series, season 6)', 'Police procedural']
["Donald Where's Your Troosers?", 'Novelty song']
['Antal Kagerbauer', 'Transylvania']
['Usroli', 'Thane district']
['Pennsylvania Route 23', 'State highway']
["Merrill's Wharf Historic District", 'Historic districts in the United States']
['Angus M. Cannon', 'Latter Day Saint movement']
['Sanyuanfang station', 'Chinese language']
['Serafino De Tivoli', 'Macchiaioli']
['GivingTuesday', 'Hashtag activism']
['Centennial Voyageur Canoe Pageant', 'Victoria Day']
['Ely Warner', 'Chester, Connecticut']
['Bhartiya Kushti Patrika', 'Hindi']
['2006 Democratic Republic of the Congo general election', 'Joseph Kabila']
['Donna Fletcher Crow', 'Christianity']
['Metro Express (Chinese newspaper)', 'Simplified Chinese characters']
['Artocarpus integer', 'Tree']
['Sonic the Hedgehog (Archie Comics)', 'American comic book']
["Athletics at the 2012 Summer Olympics – Women's 1500 metres", '2012 Summer Olympics']
['Mr. Peabody & Sherman (soundtrack)', 'Danny Elfman']
['Lisa Wickham', 'Trinidad and Tobago Television']
['1994 Evert Cup – Singles', 'Mary Joe Fernández']
['Saint-Georges-de-Baroille', 'Communes of France']
['2011 Roll Ball World Cup', 'Roll Ball World Cup']
['Eleven James', 'New York City']
['Entrenching battalions', 'British Empire']
['Social artistry', 'Theatre']
['2022 BAL Nile Conference', '2022 BAL season']
['Pygmalion in the Classroom', 'Robert Rosenthal (psychologist)']
["Athletics at the 1994 Commonwealth Games – Men's discus throw", 'Discus throw']
['Joseph Olita', 'Idi Amin']
['Alexander Samonov', 'Russian language']
['The Painted Flapper', 'Silent film']
['2015 Uruguay Open – Doubles', 'Andrej Martin']
["Swimming at the 2020 Summer Paralympics – Men's 150 metre individual medley SM4", "Swimming at the 2020 Summer Paralympics – Men's 150 metre individual medley"]
['2020 Utah windstorm', 'Beaufort scale']
['The Terminal Experiment', 'Science fiction']
['Charles Joseph George', 'Saro people']
['Seán Brady (Irish senator)', 'Fianna Fáil']
['R830 road (Ireland)', 'Regional road (Ireland)']
['November Coalition', 'War on drugs']
['Giuseppe Mario Bellanca', 'Italian Americans']
['Urban renewal', 'United States']
["Communes of the Côte-d'Or department", 'Communes of France']
['Cambridge (electoral district)', 'Electoral district (Canada)']
['Teleblock', 'National Do Not Call Registry']
['Stigmella atricapitella', 'Moth']
['Grand Canyon West Airport', 'IATA airport code']
['2011 Long Teng Cup', 'Long Teng Cup']
['Junior Writers Awards', 'Hong Kong']
['Lockheed A-12', 'Mach number']
['Salivary gland hyperplasia', 'Hyperplasia']
['Old Town Hall (Tyngsborough, Massachusetts)', 'Seat of government']
['Iolaus alcibiades', 'Butterfly']
['JANAF Shopping Center', 'Norfolk, Virginia']
['Gravitino', 'Supergravity']
['List of British film studios']
['Cooper Group', 'Group (stratigraphy)']
['Tournecoupe', 'Occitan language']
['Stateira (wife of Darius III)', 'Greek language']
['Marine Corps Air Station Miramar', 'IATA airport code']
['W.A. Heritage Trails Network', 'Heritage trail']
['Francis Fauquier', 'Lieutenant Governor of Virginia']
['Xuanwei', 'Simplified Chinese characters']
['Kirin Open', 'Golf']
['The Little Mermaid (1976 Czech film)', 'Karel Kachyňa']
['Ron Kellum', 'Cirque du Soleil']
['Mount Rhone', 'Bucknell Ridge']
['Harbor City International School', 'Charter school']
['Frederick (horse)', 'Thoroughbred']
['Amina Tyler', 'Arabic']
['Rafael Fernandes (baseball)', 'Pitcher']
['Robert E. Ferguson', 'Lieutenant Governor of New Mexico']
['Yamamura International High School', 'Education in Japan']
['Mike Napoli', 'Professional baseball']
['Basant Kumar Wangkhem', 'Manipur Legislative Assembly']
['Queen of the Summer Stars', 'Persia Woolley']
['Bozsik Aréna', 'Multi-purpose stadium']
['Dmitri Samoylov (footballer, born 1993)', 'Russian language']
['Warwick Neck, Rhode Island', 'Warwick, Rhode Island']
['1974 in Denmark']
['Thambalagamuwa Divisional Secretariat', 'Divisional Secretariats of Sri Lanka']
['The Grammar of Science', 'Karl Pearson']
['Loppersum', 'Village']
['Irish Chamber Orchestra', 'University of Limerick']
['R. R. Selvadurai', 'Sri Lankan Tamils']
['Our Lady Queen Cathedral, Bragança', 'Portuguese language']
['Ouvéa Island', 'Loyalty Islands Province']
['Rhus lanceolata', 'Texas']
['The Anarch Lords', 'A. Bertram Chandler']
['Yach Bol', 'Association football']
["St Michael's Church, Burwell", 'Redundant church']
['Leonard Shure', 'Los Angeles']
['Virginia Secession Convention of 1861', 'Abraham Lincoln']
['Daqing Bridge station', 'Simplified Chinese characters']
['Petrocosmea', 'Gesneriaceae']
['Dern Rutlidge', 'Stoner rock']
['Ed Carpenter Racing', 'Speedway, Indiana']
['Anania obliquata', 'Moth']
['Cattelan']
['Kathy Stobart', 'List of jazz saxophonists']
['Nymphicula cyanolitha', 'Moth']
['Khatas', 'Russian language']
['Gunnysacking', 'Gunny sack']
['Mittagong railway station', 'Main Southern railway line, New South Wales']
['List of National Natural Landmarks in Virgin Islands', 'National Natural Landmark']
['Mohamed Aslam', 'Sri Lanka']
['Gemerček', 'Hungarian language']
['Patricia Fresen', 'Catholic Church']
['Wayman Hill', 'Mountain']
['Ljubljana Gap', 'Slovene language']
['Kannad Gothilla', 'Thriller film']
["IHF Women's Youth World Championship", 'International Handball Federation']
['Lone Star, Fresno County, California', 'Geographic coordinate system']
['Snoddington', 'Hamlet (place)']
['Cecidosidae', 'Cecidoses']
['Carlo Cecere', 'Composer']
['Wolfgang Michels', 'BBC']
['Capture of Minorca (1798)', 'Spain']
['Yi Lijun', 'Simplified Chinese characters']
['Outer Dark (album)', 'Bill Laswell']
['Scottsboro Municipal Airport', 'Federal Aviation Administration']
['Muhammad Aytimur', 'Sarbadars']
['XHVF-FM', '103.9 FM']
['Daniel Albrecht', 'FIS Alpine Ski World Cup']
['Amelanchier intermedia', 'Wetland']
['Dave Osborn', 'American football']
['Salim Moizini', 'Association football']
['Tesnatee Gap', 'Mountain pass']
['25 øre (World War II Danish coin)', 'Nazi Germany']
['Peter Bisaillon', 'Baptism']
['Netherlands at the Cricket World Cup', 'Cricket']
['St Luke Medical Center (Pasadena, California)', 'Hospital']
['D&D London', 'Terence Conran']
['1974 NCAA Division I basketball tournament', 'Single-elimination tournament']
['Flexibility method', 'Structural engineering']
['Ulch people', 'Russian language']
['Golden Grass', 'Greatest hits album']
['Nick Leverett', 'American football']
['Sum rules (quantum field theory)', 'Quantum field theory']
['Mitsuru Sakurai', 'Politician']
['My Inner Beast', 'Jens Galschiøt']
['Million Dollar Extreme Presents: World Peace', 'Post-irony']
['Sedgley', 'Metropolitan Borough of Dudley']
['Delson station', 'Commuter rail in North America']
['Ridge push', 'Plate tectonics']
['Dynamic Duo (South Korean duo)', 'Korean language']
['Knud Ibsen', 'Skien']
['Andy Talley', 'American football']
['Journals (Cobain)', 'Kurt Cobain']
['1952 Wisła Kraków season', 'Wisła Kraków']
['Weilersbach', 'Municipalities of Germany']
['Jéssica Delboni', 'Brazil']
['Edward A. Wilkinson', 'National Geospatial-Intelligence Agency']
['Provincial Reconstruction Team Meymaneh', 'International Security Assistance Force']
['Saint Peter and Saint Paul (El Greco, Barcelona)', 'El Greco']
['Vivian Lee (weightlifter)', 'Olympic weightlifting']
['Cross of Camargue', 'Christian symbolism']
['Duncan Williams', 'Rugby union']
['The Power of Darkness', 'Russian language']
['Pressey X-O test', 'Sidney L. Pressey']
['Eugenia Charles', 'Order of the British Empire']
['Mount Clara smelter', 'Smelting']
['Coshmore and Coshbride', 'Irish language']
['Scout Commissioner', 'Scouting']
["Women's soccer in Australia", "Women's association football"]
['Scotty Robb', 'Baseball']
['Long in the Tooth (Primitive Race EP)', 'Pig (musical project)']
['Musition', 'Sibelius (scorewriter)']
['AXN White', 'Television channel']
['John Cullerton', 'Democratic Party (United States)']
['Floor tom', 'Tom drum']
['Helen Keller in Her Story', 'Helen Keller']
['Free offer of the gospel', 'Christian theology']
['Kabir Garba Marafa', 'Order of the Niger']
['Hikaru Kobayashi', 'The Royal Ballet']
['JAARS', 'William Cameron Townsend']
['2014 CS Ice Challenge', 'Ice Challenge']
['Our Circle Is Vicious', 'Hardcore punk']
["2011 PFF National Men's U-23 Championship", "PFF National Men's U-23 Championship"]
['Joseph L. Walcott', 'Barbados']
["Friends of Women's World Banking", 'Microfinance']
['Curtis Act of 1898', 'Dawes Act']
['Jan Doležal (decathlete)', 'Czech Republic']
['Internationaler Apano Cup', 'Tennis']
['Grayson, Saskatchewan', '2016 Canadian census']
['Simpi Linganna', 'Kannada']
["Philippines women's national football team", 'Philippines']
['Berlin (Money Heist)', 'Character (arts)']
['Piper verrucosum', 'Plant']
['Shepherds United F.C.', 'Association football']
['Gabriel Escarrer Jaume', 'Billionaire']
['Scalicus amiscus', 'Actinopterygii']
['Members of the Victorian Legislative Assembly, 1914–1917', 'Members of the Victorian Legislative Assembly']
['Massarina', 'Paul Christoph Hennings']
['SMS Kronprinz', 'Dreadnought']
['Eared pitta', 'Bird']
['Wentworth Webster', 'Basque Country (greater region)']
['Mark O. Hatfield Library', 'Willamette University']
['Shenik, Aragatsotn', 'Geographic coordinate system']
['1560 in music']
['Erskine Nicol', 'Royal Scottish Academy']
['Inaba Masayoshi', 'Daimyo']
['Enzo Barbaresco', 'Italy']
['2003 Great Alaska Shootout', 'Great Alaska Shootout']
['Victor Robinson', 'Ukraine']
['Nathon Burns', 'Judo']
['Granary', 'Barn']
['George Abel', 'Canadians']
['Barranbinya', 'Aboriginal Australians']
['Annie Allen', 'Gwendolyn Brooks']
['Alan Titley', 'Royal Irish Academy']
['Cafe Fantasy', 'Georgian language']
['2016 BeNe Ladies Tour', 'BeNe Ladies Tour']
['Janet Fox', 'Chicago']
['Epermenia muraseae', 'Moth']
["The Mayor's Nest", 'Cinema of the United Kingdom']
['Gaana', 'Music of Tamil Nadu']
['Amalin Yabur Elías', 'Mexicans']
['Mary of Nazareth Parish (Brooklyn)', 'John Loughlin (bishop)']
['Hetch Hetchy (band)', 'Post-punk']
['Brunswick Secondary College', 'State school']
['Rajec Szlachecki', 'Village']
['Ricoh 5A22', 'Microprocessor']
['First Flower', 'Album']
['Charles Stark Draper', 'Scientist']
['Central spindle', 'Chromosome']
['36 Street E/Métis Trail', 'Arterial road']
['Psychologie der Berufsarbeit und der Berufsberatung (Psychotechnik) II Spezieller Teil', 'Career counseling']
['Tingena aurata', 'Moth']
['1931 Denver Pioneers football team', 'American football']
['Florida State Road 989', 'Miami-Dade County, Florida']
['14th World Scout Jamboree', 'Norway']
['List of EastEnders characters (2002)', 'BBC']
['2002 in Laos', 'Laos']
['Frederic Kimber Seward', 'Corporate lawyer']
['Claude Nigon', 'Fencing']
['John E. Ivey Jr.', 'Television']
['Panamanian Football Federation', 'Spanish language']
['Zabłocie, Kłodzko County', 'German language']
['Frederick Henry Zimmerman', 'Cleveland Township, Le Sueur County, Minnesota']
['Ishim Steppe', 'Russian language']
['Rick VanMatre', 'Cincinnati Pops Orchestra']
['William Colbeck (gangster)', 'St. Louis']
['Rob Reynolds (musician)', 'The Voice UK (series 2)']
['Linwood, Indiana', 'Unincorporated area']
['Nicole Calfan', 'List of French actors']
["Nauru women's national basketball team", 'Nauru']
['Kluiverth Aguilar', 'Association football']
['Ngondoma Irrigation Scheme', 'Zhombe']
['Student politics in Venezuela', 'Student']
['Guramishvili', 'Georgian language']
['Monster Madness: Battle for Suburbia', 'Video game']
["FIS Alpine World Ski Championships 2009 – Men's super combined", 'Alpine skiing combined']
['Sam Virgo', 'Australian rules football']
['Whitney Ashley', 'Sport of athletics']
['Cala Galdana Bridge', 'Arch bridge']
['Michael Bloomberg 2020 presidential campaign', 'New York City']
['Swedish interactive thresholding algorithm', 'Visual field']
['Political Art Documentation/Distribution', 'Artivism']
['Pyridine nucleotide-disulphide oxidoreductase domain 1', 'Protein']
["1993–94 NCAA Division I men's basketball rankings", 'AP poll']
['Blair Tarrant', 'Field hockey']
['Diego Rosa (footballer, born 1989)', 'Association football']
['Dan Beach Bradley', 'Christian mission']
['Shraddha Rehabilitation Foundation', 'Nonprofit organization']
['Alek Manolov', 'Bulgarian language']
['Roman Catholic Diocese of Dax', 'Dax, Landes']
['Mirogonowice', 'Village']
["London Film Critics' Circle Award for Technical Achievement of the Year", "London Film Critics' Circle"]
['Vince Welnick', 'The Tubes']
['Maciej Urbaniec', 'Polish School of Posters']
['Cem Boyner', 'Tosya']
['Elegant... and Dying', 'Australia']
['Costa Rica worm snake', 'Snake']
['Bassogigas', 'Cusk-eel']
['Peugeot 4008', 'Subcompact crossover SUV']
['Jeena Teri Gali Mein (2013 film)', 'Rajkumar R. Pandey']
['Hutt Water Collection Area', 'Upper Hutt']
['List of authors by name: P', 'Lists of writers']
['First Moscow State Medical University', 'Russian language']
['Alcalá del Río', 'Municipalities of Spain']
['Betta livida', 'Gourami']
['2010 World Figure Skating Championships', 'World Figure Skating Championships']
['Doto amyra', 'Species']
['USS LSM-216', 'Landing Ship Medium']
['Gordon Mursell', 'Anglicanism']
['Herning Blue Fox', 'Denmark']
['Chapachupa', 'Barisal District']
['Kornelia Lesiewicz', 'Sport of athletics']
['Francis De Percin', 'Association football']
['Arthur von Weissenberg', 'Vyborg']
['Emilio Comte', 'Argentina']
['Whitchurch, Herefordshire', 'Herefordshire']
['ǀXam language', 'Lists of extinct languages']
['Aleksandra Pasynkova', 'Russian language']
['RBM5', 'Protein']
['Right Guard', 'Deodorant']
['183rd Airlift Squadron', '172nd Airlift Wing']
['Hans Peters', 'VriendenLoterij Miljonairs']
['Wolf Creek Bridge (Rocky Gap, Virginia)', 'Truss bridge']
['Brocard Sewell', 'Carmelites']
['Waldeck-Eisenberg', 'Holy Roman Empire']
['Bridget Breiner', 'Choreography']
['Inspector Hanaud', 'A. E. W. Mason']
['Até Onde Vai', 'Album']
['Pasha Centre', 'Revolving fund']
['Tup Qarah, Zanjan', 'Persian language']
['Relaxer (film)', 'Comedy film']
['Whittni Wright', 'Actor']
['Julius J. Radice', 'College football']
['Wolfgang Lange (canoeist)', 'East Germany']
['2-hydroxy-dATP diphosphatase', 'Enzyme Commission number']
["2010 All-Ireland Senior Ladies' Football Championship Final", "Dublin county ladies' football team"]
['Mwakwala', 'Kenya']
['OpenSeaMap', 'Free software']
['Pimeliini', 'Darkling beetle']
['Bonifaz', 'Bonifatius']
['Artillery of the Nguyễn lords', 'Artillery']
["All's Fair in Love", 'Silent film']
['Corporate Europe Observatory', 'Nonprofit organization']
['The Last Stone', 'Mark Bowden']
['Stockholms Fria Tidning', 'Newspaper']
['Canton of Oyonnax-Sud', 'Cantons of France']
['James E. Atwater', 'University of Oregon']
["Chile women's national field hockey team", 'Chile']
['Single-elimination tournament', 'Tournament']
['Soroveta', 'Monotypic taxon']
['Bel decomposition', 'Pseudo-Riemannian manifold']
['Daniel Felipe (footballer)', 'Vitória, Espírito Santo']
['Crowley (surname)', 'County Roscommon']
['Toma Tomov', 'Bulgarian language']
['2019 Silicon Valley Classic', 'Silicon Valley Classic']
['Montmartre Rose', 'Silent film']
['Samuel Abate', 'Middle-distance running']
['Renfrew, Calgary', 'Residential area']
['Peperomia', 'List of Peperomia species']
['Sputter deposition', 'Physical vapor deposition']
['HMS E23', 'British E-class submarine']
['Trantlemore', 'Scottish Gaelic']
['Grégoire Owona', 'Cameroon']
['Give Me Life', 'Silent film']
['St Austell', 'Cornish language']
['Lester Williams', 'American football']
['Daniel Baker College', 'Brownwood, Texas']
['Fuck Everyone and Run (F E A R)', 'Neo-progressive rock']
['Aubeville', 'Communes of France']
['American Gladiators (2008 TV series)', 'Game show']
['Ranganathan Francis', 'Field hockey']
['Guy Lafarge', 'Périgueux']
['Julie Ward (judge)', 'New South Wales Court of Appeal']
['Cosmopterix phaesphora', 'Moth']
['Department of Health (1921–1987)', 'Australian Government']
['Adventure Time (1967 TV series)', 'Television in Canada']
['Darwinellidae', 'Dendroceratida']
['Audea bipunctata', 'Species']
['James Robert Smith (author)', 'Author']
['List of Monuments of National Importance in Aurangabad circle', 'Aurangabad']
['Makaranka']
['Urchin (software)', 'Web analytics']
['Niczonów', 'German language']
['2008 K2 disaster', 'Geographic coordinate system']
['Seng Mountain National Scenic Area', 'National Scenic Area (United States)']
['Central Fund of Israel', 'Politico']
['Külama', 'Hiiumaa Parish']
['R. A. Waldron', 'Medieval studies']
['Ewa reactor', 'Poland']
['Miss Virginia World', 'Beauty pageant']
['World RX of Turkey', 'Rallycross']
['List of listed buildings in Alves, Moray', 'Listed building']
["Lutsel K'e Dene School", "Łutselk'e"]
['Sergei Kiriakov', 'Russian language']
['Afro-Caribbean history', 'British African-Caribbean people']
['Franco Coop', 'Naples']
['Suan Miang', 'Thai language']
['All Apologies (Ted Lasso)', 'Sports film']
['Josh Simpson (English footballer)', 'Association football']
['Æthelswith', 'Æthelwulf, King of Wessex']
['Sheikh Pur', 'Gujrat District']
['Chinese destroyer Zibo', 'Type 052D destroyer']
['Brent Miles', 'Tri-City Dust Devils']
['Dourdain', 'Breton language']
['Aziz Khan (squash player)', 'Squash (sport)']
['Juracy Magalhães', 'Ordem Militar de Cristo']
['Ack van Rooyen', 'The Hague']
['Provincial troops in the French and Indian Wars', 'British North America']
['Two-Gun Betty', 'Lost film']
['List of Fremantle Football Club players', 'Fremantle Football Club']
['The High Hand', 'Silent film']
['Syed Modasser Ali', 'Fellowship of the Royal Colleges of Surgeons']
['Mrkotić', 'Village']
['1922 Wimbledon Championships – Mixed doubles', "Pat O'Hara Wood"]
['Smooth Assassin', 'Grand Daddy I.U.']
['Poblano', 'Capsicum annuum']
['Jon Theodore', 'The Mars Volta']
['Wetle Holte', 'Kirsti Huke']
['Treaty of Canterbury (1416)', 'Sigismund, Holy Roman Emperor']
['Apollo Citharoedus', 'Apollo']
['The Voice of Bulgaria (season 9)', 'The Voice of Bulgaria']
['Akhteruzzaman Babul', 'Bangladeshis']
['A. M. Head', 'Badminton']
['Hydromash', 'Russian language']
['J. Stuart Wetmore', 'Episcopal Church (United States)']
['Albert Fedosov', 'Russian language']
['Lucien Castaing-Taylor', 'Liverpool']
['Jaynul Islam', 'Cricket']
['Paul McLean (footballer, born 1964)', 'Association football']
['Saint Claude (song)', 'Christine and the Queens']
['1951 Michigan State Spartans football team', 'American football']
['The Derby (1895 film)', 'United Kingdom']
['List of highways numbered 14']
['Fred Ball', 'Film studio']
['Charles Birkin', 'English literature']
['Rondon, Paraná', 'Municipalities of Brazil']
['List of Disney+ original films', 'Disney+']
['L. Francis Griffin', 'Norfolk, Virginia']
['Province of Sondrio', 'Geographic coordinate system']
['Anthaxia quadripunctata', 'Buprestidae']
['Luigi Benedetti', 'Province of Massa-Carrara']
['Steven Charleston', 'Anglicanism']
['Michael D. Hanes', 'Southern Illinois University']
['Johan Botha (tenor)', 'Tenor']
['Anion exchange transporter', 'Protein']
['Spilosoma pteridis', 'Moth']
['Alexander Merkurjev', 'Russian language']
['Methods of detecting exoplanets', 'Planet']
['Regional Art exhibition (Leningrad, 1980)', 'Russian language']
["Ze'ev Shefer", 'Hebrew language']
['Ukuwela Divisional Secretariat', 'Divisional Secretariats of Sri Lanka']
['Fresh Meadow Pond', 'Carver, Massachusetts']
['James Ligo', 'Anglicanism']
['Hồ Văn Châm', 'Chữ Hán']
['The Firemen', 'Action game']
['Cocculina leptalea', 'Species']
['1935 in Bolivia', 'Bolivia']
['AltCar Expo', 'Renewable energy']
['Carl Gottlieb Reissiger', 'Kapellmeister']
['American School of Isfahan', 'Isfahan']
['Escuela de Periodismo Carlos Septién García', 'Journalism']
['Holepyris sylvanidis', 'Hymenoptera']
['Andy Kennedy (footballer, born 1897)', 'Irish people']
['Berlin glass amphora from Olbia', 'German language']
['Khosravan-e Sofla', 'Persian language']
['Breezy Point, Minnesota', 'Crow Wing County, Minnesota']
['Kokõmäe', 'Rõuge Parish']
["2019 Kunming Open – Men's doubles", 'Aliaksandr Bury']
['Gloucester Road, Bristol', 'Bristol']
['The Last Dance (EP)', 'Extended play']
['International Journal of Transpersonal Studies', 'Peer review']
['Angelo Baccalario', 'Piedmont']
['Jean-Baptiste Badeaux', 'Quebec']
['Sophie Harris', 'Costume designer']
['Wratten number', 'Optical filter']
['St Ishmael, Carmarthenshire', 'Geographic coordinate system']
['Antônio Arroyo', 'Mixed martial arts']
['Stana Cerović', 'Balkan sworn virgins']
['Mount Marr', 'Geographic coordinate system']
['Gay Mean Girls', 'Comedy drama']
['Iduda', 'Mbeya District']
['Brian Falkner', 'University of Auckland']
['Turnpike Lane, Haringey', 'London Borough of Haringey']
['Belarus Olympic Committee', 'National Olympic Committee']
['Gorp, Netherlands', 'Hamlet (place)']
['List of South Sydney Rabbitohs players', 'Rugby league']
['Lawson Harris', 'Australia']
['Kim Jung-woo (singer)', 'Coed School (band)']
['Salzburger Kunstverein', 'Salzburg']
['Golden jackal', 'Evolution of the wolf']
['Join My Pretty World', 'Album']
['French Imperial Navy', 'French language']
['National Register of Historic Places listings in Jerauld County, South Dakota', 'National Register of Historic Places']
['Chris McGuiness', 'Professional baseball']
['First Thurston County Courthouse', 'Pender, Nebraska']
['Sadie Stanley', 'Kim Possible (character)']
['The Lost Honour of Katharina Blum (film)', 'The Lost Honour of Katharina Blum']
['Tegostoma baphialis', 'Moth']
['Julie-Anne Dineen', 'Ireland']
['Simon Ogar Veron', 'Association football']
['Przyszowice massacre', 'Polish language']
['Trent Vale', 'Stoke-on-Trent']
['Sergey Yaromko', 'Belarusian language']
['Liu Geping', 'Simplified Chinese characters']
['Electoral history of Eric Garcetti', 'Eric Garcetti']
['Philippe Halfon', 'HIV/AIDS']
['From the Wrong Side of the Aperture', 'Serbia']
['Charlie Mutch', 'Australian rules football']
['NJPW Dominion', 'Professional wrestling']
['Del entorno', 'Heavy metal music']
['Phulmania', 'India']
['Richard Usher', 'Clown']
['Prauserella aidingensis', 'Prauserella']
['Emballonuroidea', 'Taxonomic rank']
['Eggstedt', 'Dithmarschen']
['Dadukou District', 'District (China)']
['Michael Aguilar (athlete)', 'Hurdling']
['List of places in Florida: T-V', 'ZIP Code']
['Rua 25 de Março', 'English language']
['Claudia Brant', 'Vice president']
['Willem Grobbée', 'Zwolle']
['Waichi Tsutaka', 'Osaka']
['Violent Night', 'Christmas by medium']
['Castello di Oliveto', 'English language']
['Venezuela Province', 'Spanish Empire']
['Astrid Varnay', 'Richard Wagner']
['Sendawar (horse)', 'Horse racing']
['Brisbane Entertainment Centre', 'Arena']
['Carroll Moore', 'The Danny Kaye Show']
['2017 Swedish Open', 'Tennis']
['Arterolane', 'Antimalarial medication']
['Dimitri Pavadé', 'Para-athletics']
['Eduard Zorn', 'Wehrmacht']
['Pier Martire Armani', 'Baroque']
["1928–29 Marquette Hilltoppers men's ice hockey season", "Michigan Wolverines men's ice hockey"]
['Thomas Dunstan (water polo)', 'Water polo']
['Dancing with the Stars (Greek season 1)', 'Greece']
['Nina Clarkin', 'Polo']
['Longa, Angola', 'Communes of Angola']
['Cats & Dogs', 'Spy film']
['Oxymyia', 'Fly']
['Lucy Burwell Berkeley', 'Francis Nicholson']
['Giad Auto', 'Automotive industry']
['Bill Roscoe', 'Computer scientist']
['N-Acetylaspartylglutamic acid', 'Peptide']
['Eagle Street Pier ferry wharf', 'Brisbane River']
['Casalserugo', 'Comune']
['Blue Line (San Diego Trolley)', 'Light rail']
['Martina Ebm', 'Vienna']
['Malcolm Wolfe', 'Cricket']
['St George St George, 1st Baron St George', 'John Ussher (died 1741)']
['Cove, Argyll', 'Rosneath Peninsula']
['Edward Lee, 1st Earl of Lichfield', 'England']
['Arctomia teretiuscula', 'Squamulose lichen']
['Edward Thomas Gillon', 'Douglas, Isle of Man']
['Ratchaburi railway station', 'Ratchaburi province']
['Veil of Gossamer', 'Dave Bainbridge']
['Video games in Iran', 'Sanctions against Iran']
['White-chinned thrush', 'Bird']
['Trust Me (American TV series)', 'TNT (American TV network)']
['Zeppelin LZ 17', 'Zeppelin']
['Korzeń, Masovian Voivodeship', 'Village']
['Glipostenoda ferruginea', 'Beetle']
['Achilleas Agrou', 'Agros, Cyprus']
['Lists of lakes of Western Australia', 'Alphabetical order']
['Vice State President of South Africa', 'Afrikaans']
['Barney Aaron', 'Aldgate']
['Wujówka', 'Village']
['Yggdrasil (album)', 'Bump of Chicken']
['Natalie Hodgskin', 'Brisbane']
['Patrick Dougherty (Medal of Honor)', 'Union Navy']
["16th National Congress of the People's Party (Spain)", 'Mariano Rajoy']
['Pentax KP', 'APS-C']
['Sensory enhancement theory of object-based attention', 'Sensory cue']
['Patna–Ranchi AC Express', 'Express trains in India']
['Jared', 'Given name']
['First Al-Thani Cabinet', 'Arab League']
['Japanese superstitions', 'Culture of Japan']
['40th Grey Cup', 'Grey Cup']
['Obytce', 'Klatovy District']
['Ananthura pteropoda', 'Flowering plant']
['Camperdown Cemetery', 'Newtown, New South Wales']
['2016 United States presidential election in Alabama', 'Barack Obama']
["2009 Queen's Birthday Honours (Australia)", 'Australian honours and awards system']
['Gerald Hagey', 'University of Waterloo']
['Łączna, Świętokrzyskie Voivodeship', 'Village']
